sector,year,total_count,richness_N0,hill_N1,hill_N2,hill_evenness_N1_over_N0,interpret,dataset
Eastern,2000,1242.0,13,6.33943915240461,4.194622404472627,0.48764916556958543,True,living
Eastern,2002,935.0,11,5.18815023283157,3.2182154176897386,0.4716500211665064,True,living
Eastern,2003,979.0,10,6.163798680079823,4.659434416307322,0.6163798680079823,True,living
Eastern,2005,1359.0,13,7.237908492151134,5.54913873139777,0.5567621917039334,True,living
Eastern,2006,1671.0,14,6.114772441557462,4.527720978954078,0.4367694601112473,True,living
Eastern,2007,2133.0,13,7.570548021244824,6.254616015935927,0.5823498477880634,True,living
Eastern,2008,3965.0,14,7.0639654205504625,5.3669960921617585,0.5045689586107474,True,living
Eastern,2009,3158.0,15,7.022397505728217,5.2818034778574425,0.46815983371521447,True,living
Eastern,2010,2417.0,13,7.893223458766699,6.504147836901105,0.6071710352897461,True,living
Eastern,2012,2497.0,12,6.574456141556124,4.812839107831369,0.547871345129677,True,living
Eastern,2013,2669.0,14,7.20231557795221,5.477787218990423,0.5144511127108722,True,living
Eastern,2014,3506.0,14,6.915590834406731,5.41892792652992,0.4939707738861951,True,living
Eastern,2015,1961.0,13,6.728131375983621,5.189938147557823,0.5175485673833555,True,living
Eastern,2016,2228.0,13,6.969619389531586,5.426495023874907,0.5361245684255066,True,living
Eastern,2017,3007.0,13,6.869958731043392,5.597783309632753,0.5284583639264148,True,living
Eastern,2019,1148.0,12,6.656072278566306,5.182314358966294,0.5546726898805255,True,living
Eastern,2020,2201.0,12,6.206021521285599,4.742220377525458,0.5171684601071332,True,living
Eastern,2021,1765.0,13,5.362248013570911,3.645179408271561,0.4124806164285316,True,living
Eastern,2022,1962.0,13,6.334528238129184,4.9846218391638075,0.48727140293301413,True,living
Eastern,2023,1905.0,13,7.223412348302276,5.849275413709681,0.5556471037155597,True,living
Western,2005,5363.0,11,3.7578438319509853,2.3433171296456594,0.34162216654099864,True,living
Western,2006,4556.0,11,4.647863565587635,2.836938537364601,0.4225330514170577,True,living
Western,2007,6051.0,12,4.612451877569515,2.9127339689099743,0.3843709897974596,True,living
Western,2008,5944.0,11,5.153645023074988,3.8082513843675065,0.468513183915908,True,living
Western,2009,6507.0,13,6.501683517766077,4.932789668100449,0.5001295013666213,True,living
Western,2010,6625.0,12,4.935580196025442,3.179039598941147,0.4112983496687868,True,living
Western,2012,9820.0,12,5.79323931871501,4.15801746108278,0.48276994322625083,True,living
Western,2013,7711.0,14,6.320360012910179,4.731185647379967,0.4514542866364413,True,living
Western,2014,6414.0,12,6.599996093685035,4.865054371387668,0.5499996744737529,True,living
Western,2015,6112.0,13,5.913010079267509,4.351937490330721,0.45484692917442376,True,living
Western,2016,6772.0,13,6.649602869400513,5.1661742314834385,0.5115079130308087,True,living
Western,2017,5767.0,13,6.663230555393864,5.332293701685625,0.5125561965687587,True,living
Western,2019,8842.0,12,5.753853470141806,4.511397341066667,0.47948778917848384,True,living
Western,2020,7663.0,12,6.531971930744026,5.2748730071425385,0.5443309942286688,True,living
Western,2021,7092.0,13,5.9368774187208855,4.610056569279174,0.45668287836314503,True,living
Western,2022,6873.0,13,6.755480824905581,5.47404944013344,0.5196523711465831,True,living
Western,2023,4974.0,12,5.943335696992415,4.2585557797040785,0.4952779747493679,True,living
Eastern,1978,43.0,8,5.1828588581632085,3.535372848948375,0.6478573572704011,True,bones
Eastern,1982,14.0,3,2.401289214035477,2.177777777777778,0.8004297380118257,True,bones
Eastern,1986,2.0,2,2.0,2.0,1.0,False,bones
Eastern,1991,4.0,2,1.7547653506033232,1.6,0.8773826753016616,False,bones
Eastern,1993,54.0,11,6.917773740509536,5.010309278350517,0.6288885218645033,True,bones
Eastern,1994,44.0,9,6.503530813915072,4.840000000000001,0.7226145348794524,True,bones
Eastern,1998,25.0,8,5.54162210092661,4.251700680272108,0.6927027626158262,True,bones
Eastern,2002,23.0,5,3.295523950699388,2.5804878048780493,0.6591047901398775,True,bones
Eastern,2003,10.0,5,3.412787518465365,2.5,0.682557503693073,True,bones
Eastern,2006,13.0,6,4.098059451338975,2.9649122807017547,0.6830099085564959,True,bones
Eastern,2008,11.0,3,2.818482965826066,2.688888888888889,0.9394943219420221,True,bones
Eastern,2010,5.0,3,2.8717458874925876,2.7777777777777772,0.9572486291641958,False,bones
Eastern,2013,22.0,7,3.7559341908112205,2.5473684210526315,0.5365620272587458,True,bones
Eastern,2014,23.0,6,5.172863213850117,4.6000000000000005,0.8621438689750195,True,bones
Western,1983,16.0,6,3.4792948416655713,2.3703703703703702,0.5798824736109286,True,bones
Western,1991,6.0,3,2.749459273997205,2.5714285714285716,0.9164864246657349,False,bones
Western,1993,28.0,7,3.9137136313554177,2.529032258064516,0.5591019473364882,True,bones
Western,1994,57.0,10,6.940173647251969,4.813333333333333,0.6940173647251969,True,bones
Western,2002,1.0,1,1.0,1.0,1.0,False,bones
Western,2003,47.0,10,4.769390161971744,2.8140127388535032,0.4769390161971744,True,bones
Western,2006,4.0,3,2.82842712474619,2.6666666666666665,0.9428090415820632,False,bones
Western,2008,4.0,3,2.82842712474619,2.6666666666666665,0.9428090415820632,False,bones
Western,2010,1.0,1,1.0,1.0,1.0,False,bones
Western,2013,21.0,7,3.7609388132722668,2.4364640883977904,0.5372769733246096,True,bones
Western,2014,39.0,6,3.1788694227911085,2.3364055299539173,0.5298115704651848,True,bones
